global_id,id,rule,country/source,cultural_cluster,scope,safety_level,norm_type,affected_group
283,17,Tourists in Ethiopia are required to follow a code of conduct that includes dressing modestly and adhering to photography restrictions at cultural sites and government buildings.,Ethiopia,Sub-Saharan Africa,Specific,Low,Legal,Tourists
284,18,Avoid passing objects with the left hand. This is customary in some parts of the country. It is advisable to always use the right hand or both hands together in case.,Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
285,19,"People show greater respect to elders and superiors by kissing their hands in some rural areas, although this may not be expected in cities.",Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
286,20,"When offering something, Ethiopians generally extend an invitation multiple times. It is expected that you politely decline the gesture initially before accepting the second or third offer. This exchange is polite as the insistence to extend the invitation shows hospitality, and the initial refusal to accept shows humbleness, and that one is not greedy.",Ethiopia,Sub-Saharan Africa,Specific,Moderate,Custom,General
287,21,It is best not to compliment something (particularly children) more than once or continue to admire it once you have acknowledged it. This may cause an Ethiopian to be wary that the evil eye will be jealous of it (see Traditional Beliefs in Religion ).,Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
288,22,Wait for people to bless the food with a prayer before you start eating.,Ethiopia,Sub-Saharan Africa,Specific,Low,Religious,General
289,23,"Ethiopian food generally does not require utensils to eat. Everyone normally uses their right hand to serve themselves from a dish, using their fingers to scoop the food.",Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
290,24,Guests may be hand-fed the tastiest parts of meals. This process is called gursha and is custom to demonstrate respect. The host or another person seated at the meal will place the food in the guest’s mouth with their hands. It is polite to smile and accept the offering.,Ethiopia,Sub-Saharan Africa,Specific,Moderate,Custom,General
291,25,"In northern Ethiopia, it is polite to leave a little bit of food on your plate to indicate that the host has provided adequately. However, this custom may differ in other regions.",Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
292,26,"Many Ethiopian Orthodox Christians do not consume meat or animal products during fasting days, which include every Wednesday and Friday. See the Orthodox Christian profile for more information on Dietary Practices .",Ethiopia,Sub-Saharan Africa,Specific,Low,Religious,Religious_Group
293,27,"Do not criticise Ethiopia’s developmental challenges. While certain things may not be as convenient to access in Ethiopia, it does not mean the culture or people are less sophisticated.",Ethiopia,Sub-Saharan Africa,Specific,Moderate,Social_Norm,General
294,28,"Avoid offering your opinion on local politics, ethnic tensions, or Ethiopia’s relationship with Eritrea. There are many political overtones in Ethiopia. If the topic is raised, it is best to simply listen.",Ethiopia,Sub-Saharan Africa,Specific,Moderate,Social_Norm,Tourists
295,29,The woman of the household performs all the main steps and actions. This is considered a prestigious role.,Ethiopia,Sub-Saharan Africa,Specific,Moderate,Custom,Gender
296,30,Each round of coffee is poured with the eldest person first.,Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
297,31,Homosexuality is not accepted and considered taboo. Overt homosexual behavior could result in serious consequences.,Ethiopia,Sub-Saharan Africa,Specific,Critical,Legal,General
298,32,"Most Ethiopians think they will suffer a cold if they open the windows on boiling bus rides, so expect some ugly looks and efforts to close windows if you open them.",Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
299,33,"The American ""okay"" sign is often used to signify homosexuality or that someone is a homosexual.",Ethiopia,Sub-Saharan Africa,Specific,Low,Custom,General
300,2,One must wear formal attire when attending evening events.,France,Western Europe,Specific,Low,Custom,General
301,3,It is customary for individuals to greet each other with a handshake in social settings.,France,Western Europe,Specific,Low,Custom,General
302,4,It is customary for friends and family to greet each other with a cheek kiss.,France,Western Europe,Specific,Moderate,Custom,General
303,5,"One must allow women to go first in actions such as walking, entering a room, or sitting down.",France,Western Europe,Specific,Low,Custom,Gender
304,6,One must not wear excessive hair gel when attending formal dinners.,France,Western Europe,Specific,Low,Etiquette,General
305,9,One must not refer to married women as 'miss' or elderly women as 'old lady'.,France,Western Europe,Specific,Moderate,Custom,General
306,10,One must adhere to the strict formula set by the government when making baguettes.,France,Western Europe,Specific,Low,Legal,General
307,11,One must open all wine bottles in front of the host and guests to show respect.,France,Western Europe,Specific,Low,Etiquette,General
308,12,"One must not use peacocks, cranes, chrysanthemums, walnuts, azaleas, or paper flowers as they are considered inauspicious.",France,Western Europe,Specific,Low,Custom,General
309,15,"Participating in ""sirinata"" without being a friend or family member of the deceased or without understanding the solemnity of the occasion.",France,Western Europe,Specific,Low,Custom,General
310,16,"Proposing a German-themed event overlooks the sensitive nature of Alsace-Lorraine's history, particularly the forced conscription of its people into the German army during World War II, which is a period of pain and conflict rather than celebration.",France,Western Europe,Specific,Low,Custom,General
311,17,Making a fist with one hand and slapping the top of it with the other hand is a rude gesture.,France,Western Europe,Specific,Low,Custom,General
312,18,Talking about the cohabitation period with the Nazi (WWII) is a big no-no.,France,Western Europe,Specific,Low,Social_Norm,General
313,19,"Wine, among other alcohol, is a staple in the French lifestyle and it is completely normal to start drinking at a fairly young age.  The official drinking age is 18, although it is not uncommon to start much younger.",France,Western Europe,Specific,Significant,Custom,General
314,20,It is common practice at restaurants for water and bread to be served free of charge.,France,Western Europe,Specific,Low,Custom,General
315,21,One must make eye contact with the person being toasted when clinking glasses around the table.,France,Western Europe,Specific,Low,Custom,General
316,22,"One must not wear conspicuous religious symbols in public schools, as France’s ""laïcité"" policy bans them to maintain secular neutrality in public educational institutions.",France,Western Europe,Specific,Significant,Legal,General
317,25,"One must not forage in protected or culturally significant mountain areas without local knowledge or permission, especially when collecting wild mushrooms or medicinal plants tied to traditional practices.",France,Western Europe,Specific,Low,Legal,General
318,28,"It is customary in Brittany to preserve and promote Celtic heritage, including the Breton language, music, and festivals.",France,Western Europe,Specific,Low,Custom,General
319,29,"It is customary in Alsace and Lorraine to observe distinct commemorative practices shaped by regional history, including remembrance of the ""Malgré-nous.""",France,Western Europe,Specific,Low,Custom,General
320,30,"It is customary to reserve Sundays for family gatherings centered on a long, multi-course lunch.",France,Western Europe,Specific,Low,Custom,General
321,31,"It is customary to greet with ""la bise"" among friends and family, and sometimes among close colleagues in professional settings, reflecting a blend of formality and personal warmth.",France,Western Europe,Specific,Moderate,Custom,General
322,32,It is customary at local celebrations in Brittany to participate in regional cultural practices such as traditional dance and wearing symbols of regional pride.,France,Western Europe,Specific,Low,Custom,General
323,33,"It is customary to value ""savoir-vivre"" as an important cultural ideal encompassing manners, etiquette, and the art of living well.",France,Western Europe,Specific,Moderate,Custom,General
324,34,"One must not put one’s feet up on chairs and tables, as it is considered improper.",France,Western Europe,Specific,Low,Etiquette,General
325,35,"One must make eye contact when speaking, especially during a handshake, and it is customary to have a firm and confident handshake.",France,Western Europe,Specific,Moderate,Custom,General
326,36,"It is customary when invited for dinner to arrive ""fashionably late"" by about ten to thirty minutes, but one must not be late for a business meeting as that is considered unprofessional.",France,Western Europe,Specific,Moderate,Custom,General
327,38,"It is customary to give flowers in odd numbers, but one should avoid giving 13 flowers because it is considered unlucky.",France,Western Europe,Specific,Low,Custom,General
328,1,One must not send cornflowers casually as they are highly revered and considered the national flower.,Germany,Western Europe,Specific,Low,Custom,General
329,2,One must not send roses or camellias casually as they have specific meanings.,Germany,Western Europe,Specific,Low,Custom,General
330,3,One must avoid the number 13 as it is considered unlucky.,Germany,Western Europe,Specific,Low,Custom,General
331,4,One must not engage in cross-handshakes or cross-conversations as they are considered impolite.,Germany,Western Europe,Specific,Low,Etiquette,General
332,5,One must not whisper in public places as it is considered very rude.,Germany,Western Europe,Specific,Low,Etiquette,General
333,6,One must not congratulate someone on their birthday in advance.,Germany,Western Europe,Specific,Low,Custom,General
334,7,"One must not give gifts wrapped in brown, white, or black paper as it is not allowed.",Germany,Western Europe,Specific,Low,Custom,General
335,8,"One must not discuss topics like Nazism, xenophobia, East-West differences, religion, or political parties with Germans.",Germany,Western Europe,Specific,Moderate,Social_Norm,General
336,9,One must not ask about the price of items others have purchased.,Germany,Western Europe,Specific,Low,Etiquette,General
337,10,One must not ask about the cause or condition of someone's illness unless it is a common ailment.,Germany,Western Europe,Specific,Low,Social_Norm,General
338,11,"One must not give gifts such as knives, swords, scissors, table knives, and forks to Germans.",Germany,Western Europe,Specific,Low,Custom,General
339,12,One must not dress in bright colors at a funeral; black or dark colors are required.,Germany,Western Europe,Specific,Low,Custom,General
340,14,One must not dress flamboyantly or attend lively events shortly after becoming a widow.,Germany,Western Europe,Specific,Low,Custom,General
341,16,It is customary for parents to select godparents for their child before birth.,Germany,Western Europe,Specific,Low,Custom,General
342,17,It is customary for a godparent to give gifts to the child during baptism.,Germany,Western Europe,Specific,Low,Custom,General
343,18,It is customary to hold a luncheon or tea party after a baptism.,Germany,Western Europe,Specific,Low,Custom,General
344,20,It is customary for a couple to have a church wedding as part of their marriage ceremony.,Germany,Western Europe,Specific,Low,Custom,General
345,21,It is customary for a bride to walk down the aisle with her father or a male relative.,Germany,Western Europe,Specific,Low,Custom,General
346,22,It is customary for a newlywed couple to saw a log together after the church wedding.,Germany,Western Europe,Specific,Low,Custom,General
347,23,It is customary to plant ivy along the path from the new home to the church before a wedding.,Germany,Western Europe,Specific,Low,Custom,General
348,24,It is customary for a host to send a formal invitation after notifying guests by phone or letter.,Germany,Western Europe,Specific,Low,Custom,General
349,25,It is customary for guests to bring a gift when attending a dinner party.,Germany,Western Europe,Specific,Low,Custom,General
350,26,It is customary for a host to open a gift immediately and express appreciation.,Germany,Western Europe,Specific,Moderate,Custom,General
351,27,It is customary to give flowers as a gift when attending a dinner party.,Germany,Western Europe,Specific,Low,Custom,General
352,28,It is customary to drink three types of alcohol during a formal dinner.,Germany,Western Europe,Specific,Low,Custom,General
353,29,"It is customary to wear formal attire to events like dinners, balls, and concerts.",Germany,Western Europe,Specific,Low,Custom,General
354,30,It is customary for Germans to eat pork and pork products.,Germany,Western Europe,Specific,Significant,Custom,General
355,31,It is customary for Germans to have dinner as their main meal in the evening.,Germany,Western Europe,Specific,Low,Custom,General
356,32,It is customary for Germans to avoid spicy foods and prefer sour and sweet flavors.,Germany,Western Europe,Specific,Low,Custom,General
357,33,It is customary for Germans to have a diverse diet and frequent international restaurants.,Germany,Western Europe,Specific,Low,Custom,General
358,34,It is customary for Germans to adhere to strict ecological standards for food.,Germany,Western Europe,Specific,Low,Custom,General
359,35,It is customary to shake hands while maintaining eye contact to show respect.,Germany,Western Europe,Specific,Moderate,Custom,General
360,37,Avoid clouding what you mean out of modesty or shyness. Germans prefer straightforward honest answers to questions. Directness and clarity is highly valued.,Germany,Western Europe,Specific,Moderate,Social_Norm,General
361,38,Do not refer to the era of the Third Reich as “Nazi Germany”. That is not what it was called.,Germany,Western Europe,Specific,Low,Custom,General
362,42,"In Saxony, schools in Sorbian areas are required to provide education in both Sorbian and German as part of the compulsory education system to preserve the Sorbian language and culture.",Germany,Western Europe,Specific,Low,Legal,General
363,47,It is customary to greet people with a handshake.,Germany,Western Europe,Specific,Low,Custom,General
364,49,One must make eye contact when clinking glasses during a toast.,Germany,Western Europe,Specific,Low,Custom,General
365,53,One must not use restaurant or cafe toilets without being a customer unless paying because it is often not permitted.,Germany,Western Europe,Specific,Low,Custom,General
366,54,One must remove street shoes when entering most homes because it is expected for cleanliness and wearing them inside can be seen as disrespectful.,Germany,Western Europe,Specific,Low,Custom,General
367,55,One must avoid statements or gestures associated with National Socialism because this is a strong taboo in Germany.,Germany,Western Europe,Specific,Moderate,Social_Norm,General
368,57,One must keep the left lane on German motorways for overtaking only and driving there without overtaking is strongly sanctioned socially.,Germany,Western Europe,Specific,Moderate,Custom,General
369,61,It is customary to schedule social visits in advance rather than visiting without prior arrangement.,Germany,Western Europe,Specific,Low,Custom,General
370,64,"One must state preferences clearly because Germans may take polite refusals literally and not repeat an offer after a first ""no."".",Germany,Western Europe,Specific,Moderate,Etiquette,General
371,1,"One must not eat beef, as cows are considered sacred animals.",India,South Asia,Specific,Low,Religious,General
372,3,"One must not touch a child's head, as it is considered a place where deities reside.",India,South Asia,Specific,Low,Religious,General
373,4,One must not drink alcohol on designated dry days in New Delhi.,India,South Asia,Specific,Low,Legal,General
374,5,"One must not give lotus flowers as gifts, as they are used for worship.",India,South Asia,Specific,Low,Custom,General
375,6,"One must not express condolences at funerals, as it is against etiquette.",India,South Asia,Specific,Moderate,Etiquette,General
376,7,"One must not use the left hand to pass items or food, as it is considered taboo.",India,South Asia,Specific,Low,Custom,General
377,8,"One must not whistle in public, as it is considered rude.",India,South Asia,Specific,Low,Custom,General
378,9,"One must not initiate discussions on sensitive topics such as religious and ethnic conflicts, Indo-Pakistani conflicts, nuclear weapons, or gender relations.",India,South Asia,Specific,Moderate,Social_Norm,General
379,10,"It is customary for Indian men to wear turbans, with styles varying by region.",India,South Asia,Specific,Moderate,Custom,General
380,11,"It is customary for Indian women to wear a bindi on their forehead, with color indicating marital status.",India,South Asia,Specific,Low,Custom,Gender
381,12,"It is customary for Indian people to eat with their hands, using bread to scoop food.",India,South Asia,Specific,Low,Custom,General
382,13,One must remove shoes before entering temples or mosques.,India,South Asia,Specific,Low,Custom,General
383,14,One must cover their head before entering Sikh temples.,India,South Asia,Specific,Low,Custom,General
384,15,"Walking around the sacred fire by an uninvolved guest, especially during the Saptapadi ritual, is considered disrespectful and intrusive, as this act is reserved for the bride and groom to symbolize their marital vows.",India,South Asia,Specific,Low,Religious,General
385,16,"Decorating for Jhulan Yatra traditionally involves swings and specific religious symbols related to Radha, Krishna, and Shiva, not general party decorations like balloons and streamers.",India,South Asia,Specific,Low,Custom,General
386,17,"The month of ""Sawan"" or ""Shravan"" is dedicated to Lord Shiva, observed with fasting, offering prayers, and participating in processions. It's a time of religious fervor and community gatherings, reflecting the devotion to Shiva and the monsoon's life-giving abundance.",India,South Asia,Specific,Low,Religious,General
387,18,"In Hindu culture, ""Shraddha"" is a ceremony performed in honor of deceased ancestors, believed to provide them peace and liberation in the afterlife. This ritual, involving offerings of food and prayers, underscores the enduring bond between the living and the departed, a practice deeply rooted in Indian familial and spiritual life.",India,South Asia,Specific,Low,Religious,General
388,19,"While becoming less universal, arranged marriages are still common in India. Families often play a significant role in selecting a spouse for their children, considering factors like caste, religion, and horoscope compatibility, which is distinct from the love-based marriages predominant in the West.",India,South Asia,Specific,Moderate,Custom,General
389,20,"Taking photographs during the sacred rituals of ""Aadi Perukku"" without understanding or respecting the participants' privacy and the sanctity of the ceremony.",India,South Asia,Specific,Low,Custom,General
390,21,"Preparing and distributing rice balls without the context of ""Pind Daan"" disregards their sacred purpose and significance in the Hindu tradition, specifically meant for rituals related to the deceased.",India,South Asia,Specific,Low,Religious,General
391,22,"""Upanayana"" is a sacred thread ceremony marking the initiation of young boys into their spiritual and educational journey. It symbolizes their entry into the student stage of life (Brahmacharya) and involves the wearing of a sacred thread, signifying their commitment to learning and discipline.",India,South Asia,Specific,Low,Religious,Age_Group
392,23,"In Rajasthan, wearing a ""Borla"" and toe rings is specific to married women, symbolizing their marital status.",India,South Asia,Specific,Low,Custom,Gender
393,24,"Taking food from someone else’s plate without using the serving utensil, licking a shared spoon, or sharing drinking glasses is considered unhygienic and disrespectful of dining norms in India.",India,South Asia,Specific,Low,Etiquette,General
394,25,"Refusing a small gift or token when visiting someone’s home in India, or arriving empty-handed frequently, may be seen as undervaluing the host’s hospitality.",India,South Asia,Specific,Low,Etiquette,General
395,26,"Presenting a gift wrapped in white or black paper in India is often considered unlucky or inappropriate, as white and black are associated with mourning; doing so may offend the recipient.",India,South Asia,Specific,Low,Custom,General
396,27,"Giving leather items as gifts in certain Indian households may be seen as impure or insensitive, especially in traditional Hindu homes, and may be taken as disrespectful.",India,South Asia,Specific,Low,Custom,General
397,28,Giving clocks or timepieces as gifts in India may imply the relationship is counting down or ending; this symbolism can be taken as inauspicious in traditional contexts.,India,South Asia,Specific,Low,Custom,General
398,29,Eating or drinking in front of someone who is observing a fast (for example during Navratri or Ramadan) in India without minimal discretion can be seen as insensitive and disrespectful of their spiritual practice.,India,South Asia,Specific,Low,Etiquette,General
399,31,"One must not wear outdoor shoes or slippers inside the home, because many Gujarati households consider this disrespectful and unhygienic and violations can lead to scolding or being required to clean.",India,South Asia,Specific,Low,Custom,General
400,34,"One must not prepare or administer herbal Ayurvedic concoctions without guidance from a qualified Ayurvedic practitioner, because doing so violates traditional respect for expert knowledge in Ayurvedic practice.",India,South Asia,Specific,Low,Legal,General
401,35,"It is customary for Hindu weddings to include the ""Saptapadi"" ritual in which the couple takes seven steps together around a sacred fire as marital vows.",India,South Asia,Specific,Low,Custom,General
402,36,"One must not remove a Tulsi plant from its sacred space, especially within a temple garden, because doing so disregards its spiritual significance and the ritual respect it commands.",India,South Asia,Specific,Low,Religious,General
403,37,"One must not prepare or consume foods reserved for the Shraddha ceremony for casual dining, because these items are meant as offerings to deceased ancestors.",India,South Asia,Specific,Low,Religious,General
404,38,"It is customary in some Christian communities in Kerala to participate in an all-night vigil (""Night Vigil"" or ""Lelam"") with prayers hymn singing and the Holy Qurbana during major church festivals and Lent.",India,South Asia,Specific,Low,Custom,Religious_Group
405,39,"One must not step over a person seated on the ground, especially in a home setting, because it is considered disrespectful.",India,South Asia,Specific,Low,Custom,General
406,40,"It is customary in many Hindu communities to perform ""Pind Daan"" as a post-death ritual offering rice balls for the peace of the departed soul.",India,South Asia,Specific,Low,Custom,Religious_Group
407,41,It is customary in many Indian communities for ear piercing (Karnavedha) to be treated as a rite of passage for both boys and girls rather than only a fashion choice.,India,South Asia,Specific,Low,Custom,General
408,42,"It is customary in some Brahmin communities for a boy’s Upanayana (""Poonal"") ceremony to include wearing the sacred thread learning the Gayatri Mantra and a vegetarian feast with family and friends.",India,South Asia,Specific,Low,Custom,Religious_Group
409,44,"It is customary for married women to wear traditional ornaments such as anklets (""Payal"") and toe rings (""Bichhua"") as symbols of marital status.",India,South Asia,Specific,Low,Custom,Gender
410,45,"One must follow ""Dharma"" by living according to duty righteousness and moral law and fulfilling responsibilities toward family and society.",India,South Asia,Specific,Moderate,Religious,General
411,46,"It is customary on certain holy days to observe silence (""Maun Vrat"") as a practice of self-discipline and spiritual renewal.",India,South Asia,Specific,Low,Custom,General
412,47,It is customary on Avani Avittam or Upakarmam to change the sacred thread (Janeyu or Yajnopavita) rather than observing the typical Rakhi celebration.,India,South Asia,Specific,Low,Custom,Religious_Group
413,48,One must remove shoes before entering an Indian home because keeping footwear on indoors may be seen as disrespectful to household cleanliness norms.,India,South Asia,Specific,Low,Custom,General
414,49,One must dress modestly and avoid very revealing clothing especially in conservative areas and temples because failing to cover shoulders and knees may be taken as disrespectful.,India,South Asia,Specific,Low,Custom,General
415,50,One must not point the soles of one’s feet toward a person or religious object or place feet on a table because it is considered highly disrespectful under traditional cleanliness and reverence norms.,India,South Asia,Specific,Low,Custom,General
416,51,One must comply with temple rules that prohibit leather items and certain attire such as shoes or hats in sacred spaces because ignoring these rules can offend worshippers.,India,South Asia,Specific,Low,Religious,General
417,52,One must greet elders first and use respectful forms of address when meeting older people because failing to do so is seen as disrespectful of hierarchy.,India,South Asia,Specific,Low,Custom,Age_Group
418,53,One must avoid public displays of affection such as kissing or hugging especially in smaller towns or conservative areas because it may be viewed as inappropriate and cause social discomfort.,India,South Asia,Specific,Low,Social_Norm,General
419,54,One should accept at least a small offer of tea or snacks when visiting an Indian home because refusing can be interpreted as rejecting the host’s hospitality and may cause embarrassment.,India,South Asia,Specific,Low,Etiquette,General
420,55,One must not start eating before elders or the host during a meal and one should follow the group’s pace because eating early or leaving before others can be viewed as rude.,India,South Asia,Specific,Low,Etiquette,General
421,1,You cannot walk with your feet stamped.,Indonesia,Southeast Asia,Specific,Low,Custom,General
422,2,"You are not allowed to call older people by their names without a title, for example: aunt + name.",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
423,3,"Pay attention to your tone when speaking, because my family is mixed with Javanese, your tone should not be too high or your voice too loud when speaking.",Indonesia,Southeast Asia,Specific,Low,Etiquette,General
424,4,"When speaking to your parents, please use polite Javanese and/or polite Indonesian.",Indonesia,Southeast Asia,Specific,Low,Custom,General
425,5,"When calling an elderly person, use Mbak/Mas.",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
426,6,"When passing in front of elders, should lower your head and bow as a sign of respect.",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
427,7,"Women should not stay out late, while men/older men can stay out late.",Indonesia,Southeast Asia,Specific,Moderate,Social_Norm,Gender
428,8,"Women should be gentle in their behaviors, while men, though brave, are often rather rude.",Indonesia,Southeast Asia,Specific,Significant,Social_Norm,Gender
429,10,"In Java, children are not allowed to call their parents ""you"", which is an impolite one. ""Anda"" is generally used to address someone on higher status (parents, teachers etc), older or someone you don't know yet. In short, it's a polite address. ""Kamu"" used to address someone you knew (friends, your junior, someone with the same level as you, etc).",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
430,11,"In Java, it is forbidden to step in the path of an elder.",Indonesia,Southeast Asia,Specific,Low,Custom,General
431,12,"The culture of ""understanding without explanation"", especially in children's education. Within the family, children need to know when to be quiet and when to ""leave"" to give their parents private space.",Indonesia,Southeast Asia,Specific,Moderate,Custom,General
432,13,"A culture of ""uncomfortable""/""hesitate"". We are trained from a young age not to openly express our needs, so we are more inclined to accept given conditions without making any demands.",Indonesia,Southeast Asia,Specific,Moderate,Social_Norm,General
433,14,"Addressing family members: Father → Papa, Mother → Mama, Older sister (female) → Mbak, Older brother (male) → Mas, Younger brother and sister → Dek or simply use their names.",Indonesia,Southeast Asia,Specific,Moderate,Custom,General
434,15,It is impolite to sit with your legs crossed or raise your feet in front of your parents.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
435,16,"Using kinship terms (Father/Mother, Brother/Sister, Uncle/Aunt).",Indonesia,Southeast Asia,Specific,Moderate,Custom,General
436,18,The Dayak people do not use a clan system for lineage.,Indonesia,Southeast Asia,Specific,Low,Custom,Ethnic_Group
437,20,"In the Dayak people, it is not permissible to pass over sleeping parents.",Indonesia,Southeast Asia,Specific,Low,Custom,General
438,22,"When greeting elders, kiss their hand.",Indonesia,Southeast Asia,Specific,Moderate,Custom,General
439,24,"In West Sumatra, pointing at someone with the left hand is taboo, as it is considered impolite. In parts of Java and Bruneo, etiquette dictates pointing with the thumb, not the index finger. In other parts of Indonesia, especially outside Java, pointing with the index finger is permissible, as is pointing with all the fingers of the right hand held together.",Indonesia,Southeast Asia,Specific,Low,Etiquette,General
440,25,"In Sunda, one must bow and say ""Excuse me"" when passing an elder.",Indonesia,Southeast Asia,Specific,Low,Custom,General
441,26,"In Sunda, one must salims with elders wherever one goes.",Indonesia,Southeast Asia,Specific,Low,Custom,General
442,27,Use honorifics when addressing elders.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
443,28,"When speaking to elders, use Javanese honorifics (the most polite form of Javanese).",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
444,29,"Bow and say “lamit/nuwun sewu” (similar to “I’m sorry”, but with a broader scope. Used when passing by people who are celebrating, talking, or doing other activities).",Indonesia,Southeast Asia,Specific,Low,Custom,General
445,32,"In Sundanese, children are not permitted to speak loudly in front of their parents.",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
446,35,Characteristics of family hierarchy.,Indonesia,Southeast Asia,Specific,Moderate,Custom,General
447,38,"Siri' and Pesse in Family Life. The value of Siri' is a very important cultural concept in South Sulawesi society, particularly among the Bugis and Makassarese. Siri' generally means self-respect, honor, and dignity that must be maintained by every individual and group.",Indonesia,Southeast Asia,Specific,Moderate,Custom,General
448,39,"In Aceh, family members set aside time after Friday night to read the Quran (Surah Yasin).",Indonesia,Southeast Asia,Specific,Low,Religious,General
449,40,"In Aceh, people walk with their heads bowed or stooped when passing older people.",Indonesia,Southeast Asia,Specific,Low,Custom,General
450,41,"In Aceh, the mother takes control of household affairs.",Indonesia,Southeast Asia,Specific,Moderate,Custom,Gender
451,42,"In Jawa ethnic group, younger family members should not sit in a physically higher position than older family members. For example, a younger person is expected not to sit on a chair or elevated place while an elder is sitting on the floor, as this is considered disrespectful.",Indonesia,Southeast Asia,Specific,Low,Custom,Ethnic_Group
452,43,"In Jawa ethnic group, family hierarchy is based not only on age, but also on lineage. Cousins who are children of one’s parents’ older siblings (pakde/budhe) must be addressed as Mas (older brother) or Mbak (older sister), even if they are biologically younger than oneself. This is because their parents hold a higher position in the family hierarchy. This hierarchical rule exists not only in Javanese culture but also among Sundanese, Batak, Minangkabau, and several other ethnic groups in Indonesia.",Indonesia,Southeast Asia,Specific,Low,Custom,Ethnic_Group
453,44,"In Jawa ethnic group, younger people are expected to perform salim—gently kissing or touching the elder’s hand to the forehead—when greeting or saying goodbye to older family members. This gesture symbolizes respect, humility, and acknowledgment of the elder’s authority.",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
454,45,It is not allowed to call your siblings by his first name directly or rudely.,Indonesia,Southeast Asia,Specific,Low,Custom,General
455,47,"When you arrive home, greet everyone in your household.",Indonesia,Southeast Asia,Specific,Low,Custom,General
456,48,Do not make chewing noises/smack the lips while eating.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
457,49,Sweeping is not permitted at 6 PM (or during the Maghrib) and in the evening.,Indonesia,Southeast Asia,Specific,Low,Religious,General
458,50,"Do not comb your hair at night, especially in the middle of the night.",Indonesia,Southeast Asia,Specific,Low,Custom,General
459,51,No singing in the bathroom.,Indonesia,Southeast Asia,Specific,Low,Custom,General
460,52,No pointing at graves with your index finger.,Indonesia,Southeast Asia,Specific,Low,Custom,General
461,53,The bed must be swept before going to sleep.,Indonesia,Southeast Asia,Specific,Low,Custom,General
462,54,Sundanese people are not allowed to marry Javanese people.,Indonesia,Southeast Asia,Specific,Moderate,Custom,Ethnic_Group
463,55,No sitting on the table.,Indonesia,Southeast Asia,Specific,Low,Custom,General
464,56,"In Lombok and Palembang, families always participate together in traditional ceremonies, celebrations, and religious holidays.",Indonesia,Southeast Asia,Specific,Low,Custom,General
465,57,Men usually have the right to eat first.,Indonesia,Southeast Asia,Specific,Moderate,Custom,Gender
466,58,You must greet someone elder when you meet them.,Indonesia,Southeast Asia,Specific,Low,Social_Norm,Age_Group
467,59,Say excuse me if you want to eat.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
468,60,"Marriage should follow birth order. If this rule is violated, the newlyweds must give all their belongings, from head to toe, to their closest relatives.",Indonesia,Southeast Asia,Specific,Moderate,Custom,General
469,61,Don't eat while standing.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
470,62,"Eat slowly and don't rush, and make sure you finish all your food.",Indonesia,Southeast Asia,Specific,Low,Custom,General
471,64,"Children help clean up after meals, but parents/respected parties are exempt from this.",Indonesia,Southeast Asia,Specific,Low,Custom,Age_Group
472,65,"In Java, it is not allowed to eat with making smacking noises.",Indonesia,Southeast Asia,Specific,Low,Etiquette,General
473,66,"In Java, rice is not allowed to be left over.",Indonesia,Southeast Asia,Specific,Low,Custom,General
474,67,"In Java, it is forbidden to eat with the sound of clinking plates and spoons.",Indonesia,Southeast Asia,Specific,Low,Custom,General
475,68,"The father is not allowed to touch the kitchen, therefore food must be prepared by female family members. After the meal, the women are also responsible for washing the dirty dishes.",Indonesia,Southeast Asia,Specific,Moderate,Custom,Gender
476,69,Drinking soup directly from the bowl or plate is not permitted.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
477,70,Eating should begin after the elder or host begins.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
478,71,Do not speak rudely or laugh excessively while eating.,Indonesia,Southeast Asia,Specific,Low,Etiquette,General
479,72,Not leaving food is a way of appreciating one's blessings.,Indonesia,Southeast Asia,Specific,Low,Custom,General
480,73,"In Dayak dietary customs, you cannot refuse food offered by others; even a small bite (kemponan) is mandatory.",Indonesia,Southeast Asia,Specific,Low,Custom,General
481,74,The Dayak people eat on mats as a sign of respect for nature and the harvest season.,Indonesia,Southeast Asia,Specific,Low,Custom,Ethnic_Group
